,mults,atens,i/o,osc,lpf,noise,divider,s&h,keys,mix
con 1x1,,,3.00,,,1.00,,,,,4.00
con 4x2,1.00,,,,,,,,,,1.00
con 6x1,,,,,,,1.00,,,,1.00
cpm 4x1,,,,,,,,,,1.00,1.00
con 6x3,,,,1.00,,,,,,,1.00
con 3x2,,,,,,,,,1.00,,1.00
con 3x1,,3.00,,,1.00,,,1.00,,,5.00
10 k pot,,3.00,3.00,6.00,1.00,,,,,,13.00
1 k res,,,,,,,,1.00,,3.00,4.00
CD 40106,,,,1.00,,,,,,,1.00
CD 4040,,,,,,,1.00,,,,1.00
1 uf cap,,,,1.00,,,,,,,1.00
100 uf cap,,,,3.00,,,,,,,3.00
10 uf cap,,,,2.00,,,,,,,2.00
button,,,,,,,,,12.00,,12.00
raspbery pico,,,,,,,,,1.00,,1.00
ceramic 10nf,,,,,1.00,,,,,,1.00
photoresistor,,3.00,,,1.00,,,,,,4.00
yellow diode,,3.00,,,1.00,,,,,,4.00
jack,,,3.00,,,,,,,,3.00
2N3904,,,,,,2.00,,1.00,,,3.00
470k,,,,,,2.00,,,,,2.00
4.7k,,,,,,1.00,,,,,1.00
ceramic 470 nf,,,,,,2.00,,,,,2.00
uA741,,,,,,,,1.00,,,1.00
1N40007,,,,,,,,1.00,,,1.00
1nf,,,,,,,,1.00,,,1.00
10k res,,,,,,,,1.00,,,1.00
10M res,,,,,,,,1.00,,,1.00
trimpot,,,,,,,,,12.00,,12.00
